product_id,rec_id
723,760
760,723
723,758
758,723
723,754
754,723
723,740
740,723
723,724
724,723
723,757
757,723
723,756
756,723
723,737
737,723
723,743
743,723
723,732
732,723
723,745
745,723
723,729
729,723
723,752
752,723
723,753
753,723
723,759
759,723
723,731
731,723
723,742
723,741
741,723
723,747
747,723
723,735
735,723
723,726
726,723
723,722
722,723
723,744
744,723
723,748
748,723
723,739
739,723
723,730
730,723
728,760
760,728
758,760
760,758
754,760
760,754
740,760
760,740
738,760
760,738
757,760
760,757
756,760
760,756
737,760
760,737
743,760
760,743
732,760
760,732
729,760
760,729
733,760
760,733
721,760
760,721
752,760
760,752
753,760
760,753
759,760
760,759
731,760
760,731
760,742
742,760
741,760
760,741
747,760
760,747
735,760
760,735
726,760
760,726
722,760
760,722
727,760
760,727
744,760
760,744
748,760
760,748
739,760
760,739
730,760
760,730
728,758
758,728
754,728
728,754
740,728
728,740
738,728
728,738
724,728
728,724
757,728
728,757
756,728
728,756
743,728
728,743
728,732
732,728
745,728
728,745
729,728
728,729
733,728
728,733
752,728
728,752
753,728
728,753
759,728
728,759
731,728
728,731
728,742
742,728
741,728
728,741
747,728
728,747
728,735
735,728
726,728
728,726
728,722
722,728
728,727
727,728
728,744
744,728
728,748
748,728
739,728
728,739
730,728
728,730
754,758
758,754
740,758
758,740
738,758
758,738
724,758
758,724
757,758
758,757
756,758
758,756
737,758
758,737
743,758
758,743
758,732
732,758
745,758
758,745
729,758
758,729
733,758
758,733
721,758
758,721
752,758
758,752
753,758
758,753
759,758
758,759
731,758
758,731
741,758
758,741
747,758
758,747
735,758
758,735
726,758
758,726
758,722
722,758
758,727
727,758
758,744
744,758
758,748
748,758
730,758
758,730
754,738
738,754
754,724
724,754
754,757
757,754
754,756
756,754
754,737
737,754
743,754
754,743
754,732
732,754
754,745
745,754
754,729
729,754
754,733
733,754
754,721
721,754
754,752
752,754
759,754
754,759
754,731
731,754
754,742
742,754
754,741
741,754
754,747
747,754
754,735
735,754
754,726
726,754
754,722
722,754
754,744
744,754
754,748
748,754
754,739
739,754
754,730
730,754
740,738
738,740
740,724
724,740
740,757
757,740
740,756
756,740
740,737
737,740
743,740
740,743
740,732
732,740
740,745
745,740
740,729
729,740
740,733
733,740
740,721
721,740
740,752
752,740
740,753
753,740
759,740
740,759
740,731
731,740
740,742
742,740
740,741
741,740
740,747
747,740
740,735
735,740
740,726
726,740
740,722
722,740
740,727
727,740
740,744
744,740
740,748
748,740
739,740
740,730
730,740
738,724
724,738
738,757
757,738
738,756
756,738
738,737
737,738
743,738
738,743
738,732
732,738
738,745
745,738
729,738
738,729
733,738
738,733
721,738
738,721
738,752
752,738
738,753
753,738
759,738
738,759
731,738
738,731
738,742
742,738
738,741
741,738
738,747
747,738
738,735
735,738
738,726
726,738
738,722
722,738
738,727
727,738
738,744
744,738
738,748
748,738
738,739
739,738
738,730
730,738
757,724
724,757
756,724
724,756
724,737
743,724
724,743
724,732
732,724
745,724
724,745
729,724
724,729
721,724
724,721
724,752
752,724
753,724
724,753
759,724
724,759
731,724
724,731
724,742
742,724
724,741
741,724
724,747
747,724
724,735
735,724
724,726
726,724
724,722
722,724
724,727
727,724
724,744
744,724
724,748
748,724
724,739
739,724
724,730
730,724
757,756
756,757
757,737
737,757
743,757
757,743
757,732
732,757
757,745
745,757
729,757
757,729
733,757
757,733
721,757
757,721
757,752
752,757
757,753
753,757
759,757
757,759
731,757
757,731
757,742
742,757
757,741
741,757
757,747
747,757
757,735
735,757
757,726
726,757
757,722
722,757
757,727
727,757
757,744
744,757
757,748
748,757
757,739
739,757
757,730
730,757
756,737
737,756
743,756
756,743
756,732
732,756
745,756
756,745
729,756
756,729
733,756
756,733
721,756
756,721
756,752
752,756
753,756
756,753
759,756
756,759
731,756
756,731
756,742
742,756
756,741
741,756
756,747
747,756
756,735
735,756
756,726
726,756
756,722
722,756
727,756
756,744
744,756
756,748
748,756
